teamOneWon,teamTwoWon,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating
True,False,8,1.53,2,1.18,-2,0.91,-1,0.85,-4,0.84,4,1.22,-1,1.07,-2,0.99,-2,0.9,-5,0.81
False,True,9,1.35,-1,1.14,0,1.05,1,1.04,-7,0.84,6,1.32,1,1.21,-2,1.15,-2,0.95,-5,0.87
False,True,-3,0.97,1,0.95,-3,0.85,-6,0.83,-7,0.79,6,1.6,4,1.25,6,1.2,1,1.2,0,0.89
False,True,2,1.19,-3,1.04,0,0.99,-3,0.83,-6,0.67,4,1.43,7,1.17,1,1.09,-2,0.97,-3,0.92
True,False,13,1.48,1,1.15,-3,1.04,-1,0.95,-2,0.91,19,1.69,-1,1.05,-3,0.86,-10,0.83,-13,0.77
False,True,5,1.1,-4,1.05,-6,0.85,-7,0.81,-4,0.79,6,1.4,2,1.23,4,1.18,0,1.15,3,1.03
False,True,4,1.42,0,0.79,-6,0.69,-9,0.63,-10,0.6,9,1.59,9,1.48,1,1.22,3,1.2,-1,1.08
True,False,15,1.92,4,1.46,6,1.41,5,1.19,-4,0.83,3,1.28,-4,0.85,-7,0.64,-4,0.63,-14,0.54
True,False,12,1.84,11,1.66,0,1.04,-4,0.91,-3,0.87,5,1.28,1,1.06,-1,0.92,-10,0.55,-12,0.38
True,False,11,1.86,8,1.54,7,1.5,2,1.25,2,1.13,-2,0.79,-4,0.72,-6,0.56,-10,0.39,-10,0.37
False,True,1,1.14,1,1.04,-3,0.92,-1,0.91,-9,0.82,6,1.39,5,1.28,5,1.13,0,0.88,-5,0.76
False,True,-5,0.9,-2,0.85,-6,0.65,-10,0.39,-12,0.34,12,1.94,13,1.73,6,1.36,3,1.34,1,1.21
True,False,10,1.56,9,1.35,-1,0.95,-2,0.93,-1,0.83,0,1.08,-4,0.98,-1,0.98,-2,0.96,-11,0.61
False,True,-1,0.81,-9,0.64,-5,0.59,-6,0.55,-13,0.16,14,2.13,8,1.65,5,1.55,5,1.52,1,1.25
False,True,-4,1.01,-3,1.01,-1,0.72,-3,0.68,-6,0.68,7,1.43,5,1.29,5,1.29,1,1.23,-1,1.16
