eventId,teamOneName,teamTwoName,teamOneScore,teamTwoScore,teamOneWon,teamTwoWon,matchLink
7437,Lynn Vision,TYLOO,2,0,True,False,/matches/2370914/lynn-vision-vs-tyloo-iem-chengdu-2024
7437,G2,Liquid,1,2,False,True,/matches/2370911/g2-vs-liquid-iem-chengdu-2024
7437,9z,HEROIC,0,2,False,True,/matches/2370912/9z-vs-heroic-iem-chengdu-2024
7437,FaZe,Nemiga,13,8,False,True,/matches/2370909/faze-vs-nemiga-iem-chengdu-2024
7437,Steel Helmet,Astralis,2,13,True,False,/matches/2370910/steel-helmet-vs-astralis-iem-chengdu-2024
7437,Wildcard,Virtus.pro,1,13,False,True,/matches/2370908/wildcard-vs-virtuspro-iem-chengdu-2024
7437,Cloud9,FlyQuest,6,13,True,False,/matches/2370907/cloud9-vs-flyquest-iem-chengdu-2024
7437,TYLOO,MOUZ,11,13,False,True,/matches/2370906/tyloo-vs-mouz-iem-chengdu-2024
7437,FURIA,Lynn Vision,13,9,False,True,/matches/2370905/furia-vs-lynn-vision-iem-chengdu-2024
7437,G2,9z,13,10,True,False,/matches/2370903/g2-vs-9z-iem-chengdu-2024
7437,Liquid,HEROIC,13,8,False,True,/matches/2370904/liquid-vs-heroic-iem-chengdu-2024
7435,FaZe,Spirit,0,3,False,True,/matches/2369507/faze-vs-spirit-iem-katowice-2024
7435,Spirit,Falcons,2,0,True,False,/matches/2369506/spirit-vs-falcons-iem-katowice-2024
7435,MOUZ,FaZe,0,2,False,True,/matches/2369505/mouz-vs-faze-iem-katowice-2024
7435,ENCE,Falcons,1,2,False,True,/matches/2369504/ence-vs-falcons-iem-katowice-2024
7435,FaZe,G2,2,0,True,False,/matches/2369503/faze-vs-g2-iem-katowice-2024
7435,HEROIC,G2,0,2,False,True,/matches/2369502/heroic-vs-g2-iem-katowice-2024
7435,MOUZ,ENCE,2,0,True,False,/matches/2369501/mouz-vs-ence-iem-katowice-2024
7435,Falcons,Natus Vincere,2,0,True,False,/matches/2369494/falcons-vs-natus-vincere-iem-katowice-2024
7435,Spirit,FaZe,2,0,True,False,/matches/2369493/spirit-vs-faze-iem-katowice-2024
7435,Monte,G2,1,2,False,True,/matches/2369500/monte-vs-g2-iem-katowice-2024
7435,HEROIC,GamerLegion,2,1,True,False,/matches/2369499/heroic-vs-gamerlegion-iem-katowice-2024
7435,Natus Vincere,Eternal Fire,2,1,True,False,/matches/2369492/natus-vincere-vs-eternal-fire-iem-katowice-2024
7435,Complexity,Falcons,1,2,False,True,/matches/2369491/complexity-vs-falcons-iem-katowice-2024
7435,G2,ENCE,0,2,False,True,/matches/2369497/g2-vs-ence-iem-katowice-2024
7435,GamerLegion,MOUZ,0,2,False,True,/matches/2369498/gamerlegion-vs-mouz-iem-katowice-2024
7435,HEROIC,Vitality,2,1,True,False,/matches/2369495/heroic-vs-vitality-iem-katowice-2024
7435,Monte,Cloud9,2,0,True,False,/matches/2369496/monte-vs-cloud9-iem-katowice-2024
7435,Eternal Fire,FaZe,1,2,False,True,/matches/2369487/eternal-fire-vs-faze-iem-katowice-2024
7435,Falcons,Rebels,2,1,True,False,/matches/2369488/falcons-vs-rebels-iem-katowice-2024
7435,Natus Vincere,Apeks,2,1,True,False,/matches/2369490/natus-vincere-vs-apeks-iem-katowice-2024
7435,Spirit,Complexity,2,0,True,False,/matches/2369489/spirit-vs-complexity-iem-katowice-2024
7435,MOUZ,Cloud9,2,1,True,False,/matches/2369415/mouz-vs-cloud9-iem-katowice-2024
7435,Monte,GamerLegion,0,2,False,True,/matches/2369414/monte-vs-gamerlegion-iem-katowice-2024
7435,Vitality,ENCE,1,2,False,True,/matches/2369412/vitality-vs-ence-iem-katowice-2024
7435,Complexity,Apeks,2,0,True,False,/matches/2369411/complexity-vs-apeks-iem-katowice-2024
7435,Natus Vincere,Spirit,1,2,False,True,/matches/2369410/natus-vincere-vs-spirit-iem-katowice-2024
7435,FaZe,Rebels,2,0,True,False,/matches/2369408/faze-vs-rebels-iem-katowice-2024
7435,G2,HEROIC,2,1,True,False,/matches/2369413/g2-vs-heroic-iem-katowice-2024
7435,Falcons,Eternal Fire,0,2,False,True,/matches/2369409/falcons-vs-eternal-fire-iem-katowice-2024
7261,Complexity,Liquid,2,1,True,False,/matches/2370207/complexity-vs-liquid-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,M80,Legacy,1,2,False,True,/matches/2370206/m80-vs-legacy-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,paiN,ODDIK,2,0,True,False,/matches/2370205/pain-vs-oddik-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,Legacy,MIBR,2,0,True,False,/matches/2370204/legacy-vs-mibr-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,FURIA,Complexity,2,1,True,False,/matches/2370203/furia-vs-complexity-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,RED Canids,ODDIK,1,2,False,True,/matches/2370202/red-canids-vs-oddik-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,paiN,Imperial,0,2,False,True,/matches/2370201/pain-vs-imperial-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,M80,Wildcard,2,1,True,False,/matches/2370200/m80-vs-wildcard-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,BOSS,Liquid,0,2,False,True,/matches/2370199/boss-vs-liquid-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,Elevate,ODDIK,1,2,False,True,/matches/2370198/elevate-vs-oddik-pgl-cs2-major-copenhagen-2024-americas-rmr
7261,Nouns,Legacy,1,2,False,True,/matches/2370197/nouns-vs-legacy-pgl-cs2-major-copenhagen-2024-americas-rmr
