eventId,eventName,eventDate,eventLink,eventNumTeams,eventPrize,eventLocation,eventType
7784,961Gamers New Dawn Cup 2024,Apr 14th,/events/7784/961gamers-new-dawn-cup-2024,2+,"$3,000",MENA (Online),Online
7783,ESL Impact Spring 2024 Cash Cup 2 North America,Apr 14th,/events/7783/esl-impact-spring-2024-cash-cup-2-north-america,2+,"$1,000",North America (Online),Online
7782,ESL Impact Spring 2024 Cash Cup 2 Europe,Apr 14th,/events/7782/esl-impact-spring-2024-cash-cup-2-europe,2+,"$1,000",Europe (Online),Online
7781,CCT Season 2 Europe Series 1,Apr 21st,/events/7781/cct-season-2-europe-series-1,24,"$50,000",Europe (Online),Online
7780,CCT Season 2 Europe Series 1 Closed Qualifier,Apr 15th,/events/7780/cct-season-2-europe-series-1-closed-qualifier,16,Other,Europe (Online),Online
7777,RedZone PRO League 2024 Season 2,Apr 11th,/events/7777/redzone-pro-league-2024-season-2,2+,"$1,974",Brazil (Online),Online
7776,RES Regional Series 2 Europe,Apr 17th,/events/7776/res-regional-series-2-europe,16,"$100,000",Europe (Online),Online
7775,ESL Impact Spring 2024 Cash Cup 1 Europe,Apr 7th,/events/7775/esl-impact-spring-2024-cash-cup-1-europe,2+,"$1,000",Europe (Online),Online
7774,ESL Impact Spring 2024 Cash Cup 1 North America,Apr 7th,/events/7774/esl-impact-spring-2024-cash-cup-1-north-america,2+,"$1,000",North America (Online),Online
7773,European Pro League Season 15,Apr 8th,/events/7773/european-pro-league-season-15,16,"$20,000",Europe (Online),Online
7772,European Pro League Female Season 1,Apr 8th,/events/7772/european-pro-league-female-season-1,8,"$5,000",Europe (Online),Online
7771,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Apr 4th,/events/7771/betboom-dacha-belgrade-2024-south-america-closed-qualifier,8,Other,South America (Online),Online
7770,LuckyCasino Cup 2024,Apr 6th,/events/7770/luckycasino-cup-2024,8,"$9,400",Europe (Online),Online
7769,RES Regional Series 3 LATAM,Apr 6th,/events/7769/res-regional-series-3-latam,16,"$50,000",South America (Online),Online
7768,Esports World Cup 2024 MENA Closed Qualifier,Apr 18th,/events/7768/esports-world-cup-2024-mena-closed-qualifier,4,Other,MENA (Online),Online
7767,Esports World Cup 2024 Oceania Closed Qualifier,Apr 19th,/events/7767/esports-world-cup-2024-oceania-closed-qualifier,4,Other,Oceania (Online),Online
7766,Esports World Cup 2024 Oceania Open Qualifier,Apr 17th,/events/7766/esports-world-cup-2024-oceania-open-qualifier,8+,Other,Oceania (Online),Online
7765,Esports World Cup 2024 Asia Closed Qualifier,Apr 18th,/events/7765/esports-world-cup-2024-asia-closed-qualifier,4,Other,Asia (Online),Online
7764,Esports World Cup 2024 Asia Open Qualifier,Apr 16th,/events/7764/esports-world-cup-2024-asia-open-qualifier,8+,Other,Asia (Online),Online
7763,Esports World Cup 2024 South America Closed Qualifier,Apr 18th,/events/7763/esports-world-cup-2024-south-america-closed-qualifier,4,Other,South America (Online),Online
7762,Esports World Cup 2024 South America Open Qualifier,Apr 16th,/events/7762/esports-world-cup-2024-south-america-open-qualifier,16+,Other,South America (Online),Online
7761,Esports World Cup 2024 North America Closed Qualifier,Apr 18th,/events/7761/esports-world-cup-2024-north-america-closed-qualifier,4,Other,North America (Online),Online
7760,Esports World Cup 2024 North America Open Qualifier,Apr 16th,/events/7760/esports-world-cup-2024-north-america-open-qualifier,8+,Other,North America (Online),Online
7759,Esports World Cup 2024 Europe Closed Qualifier,Apr 19th,/events/7759/esports-world-cup-2024-europe-closed-qualifier,4,Other,Europe (Online),Online
7758,Esports World Cup 2024 Europe Open Qualifier,Apr 17th,/events/7758/esports-world-cup-2024-europe-open-qualifier,16+,Other,Europe (Online),Online
7757,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apr 2nd,/events/7757/betboom-dacha-belgrade-2024-europe-closed-qualifier,16,Other,Europe (Online),Online
7756,European Pro League 2nd Division Season 11,Apr 2nd,/events/7756/european-pro-league-2nd-division-season-11,6+,"$10,000",Europe (Online),Online
7755,BetBoom Dacha Belgrade 2024,May 14th,/events/7755/betboom-dacha-belgrade-2024,8,"$500,000","Belgrade, Serbia",Intl. LAN
7753,Tradeit League FE Masters Season 2,Apr 6th,/events/7753/tradeit-league-fe-masters-season-2,8+,"$1,500",Europe (Online),Online
7749,Thunderpick World Championship 2024 EU Closed Qualifier 1,Apr 1st,/events/7749/thunderpick-world-championship-2024-eu-closed-qualifier-1,32,"$25,000",Europe (Online),Online
7742,Global Esports Tour Rio 2024,Apr 18th,/events/7742/global-esports-tour-rio-2024,8,"$200,000","Rio de Janeiro, Brazil",Intl. LAN
7741,Bergen Games 2024 Finals,Apr 13th,/events/7741/bergen-games-2024-finals,2,"$4,786","Bergen, Norway",Local LAN
7724,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Apr 2nd,/events/7724/esl-challenger-jnkping-2024-europe-closed-qualifier,8,Other,Europe (Online),Online
7711,Skyesports Masters 2024,Apr 8th,/events/7711/skyesports-masters-2024,8,"$345,000",Europe (Online),Online
7708,ESL Challenger League Season 47 Asia-Pacific,Jun 4th,/events/7708/esl-challenger-league-season-47-asia-pacific,10+,"$39,200",Asia (Online),Online
7700,Elisa Invitational Spring 2024,Apr 8th,/events/7700/elisa-invitational-spring-2024,20,"$25,000",Europe (Online),Online
7686,ESL Challenger League Season 47 Oceania,Feb 21st,/events/7686/esl-challenger-league-season-47-oceania,10,"$10,000",Oceania (Online),Online
7672,A1 Gaming League Season 8,Feb 3rd,/events/7672/a1-gaming-league-season-8,20,"$16,200",Europe (Online),Online
7671,ESL Impact League Season 5 North America,Mar 6th,/events/7671/esl-impact-league-season-5-north-america,8,"$7,800",North America (Online),Online
7670,ESL Impact League Season 5 South America,Mar 6th,/events/7670/esl-impact-league-season-5-south-america,8,"$9,700",South America (Online),Online
7669,ESL Impact League Season 5 Europe,Mar 6th,/events/7669/esl-impact-league-season-5-europe,12,"$9,500",Europe (Online),Online
7666,ESL Challenger League Season 47 South America,Feb 13th,/events/7666/esl-challenger-league-season-47-south-america,16,"$60,000",South America (Online),Online
7642,YaLLa Compass Spring 2024,Apr 1st,/events/7642/yalla-compass-spring-2024,20,"$25,000",Europe (Online),Online
7635,United21 League Season 10,Jan 18th,/events/7635/united21-league-season-10,4+,"$5,000",Europe (Online),Online
7632,KAOS Freeze Time 2024,Jan 13th,/events/7632/kaos-freeze-time-2024,2+,"$2,000","Fullerton, CA, US",Local LAN
7631,European Pro League 2nd Division Season 9,Jan 14th,/events/7631/european-pro-league-2nd-division-season-9,8+,"$10,000",Europe (Online),Online
7630,Copenhagen Gaming Week 2024,Jan 13th,/events/7630/copenhagen-gaming-week-2024,4,Other,"Copenhagen, Denmark",Intl. LAN
7623,Cyber Alliance Cup Season 3,Dec 25th,/events/7623/cyber-alliance-cup-season-3,2+,"$2,544","Tashkent, Uzbekistan",Local LAN
7622,Betswap Winter Cup 2023,Dec 26th,/events/7622/betswap-winter-cup-2023,8,"$20,000",Europe (Online),Online
7621,ESL Challenger League Season 47 North America,Feb 13th,/events/7621/esl-challenger-league-season-47-north-america,16,"$80,000",North America (Online),Online
7620,ESL Challenger League Season 47 Europe,Feb 26th,/events/7620/esl-challenger-league-season-47-europe,24,"$100,000",Europe (Online),Online
7619,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Jan 18th,/events/7619/pgl-cs2-major-copenhagen-2024-europe-rmr-closed-qualifier-b,16,Other,Europe (Online),Online
7614,IEM Chengdu 2024 Oceania Open Qualifier 2,Jan 17th,/events/7614/iem-chengdu-2024-oceania-open-qualifier-2,8+,Other,Oceania (Online),Online
7613,IEM Chengdu 2024 Oceania Open Qualifier 1,Jan 15th,/events/7613/iem-chengdu-2024-oceania-open-qualifier-1,8+,Other,Oceania (Online),Online
7612,IEM Chengdu 2024 South America Closed Qualifier,Jan 17th,/events/7612/iem-chengdu-2024-south-america-closed-qualifier,4,Other,South America (Online),Online
7611,IEM Chengdu 2024 South America Open Qualifier 2,Jan 15th,/events/7611/iem-chengdu-2024-south-america-open-qualifier-2,16+,Other,South America (Online),Online
7610,IEM Chengdu 2024 South America Open Qualifier 1,Jan 13th,/events/7610/iem-chengdu-2024-south-america-open-qualifier-1,16+,Other,South America (Online),Online
7609,IEM Chengdu 2024 North America Closed Qualifier,Jan 19th,/events/7609/iem-chengdu-2024-north-america-closed-qualifier,4,Other,North America (Online),Online
7608,IEM Chengdu 2024 North America Open Qualifier 2,Jan 17th,/events/7608/iem-chengdu-2024-north-america-open-qualifier-2,16+,Other,North America (Online),Online
7607,IEM Chengdu 2024 North America Open Qualifier 1,Jan 15th,/events/7607/iem-chengdu-2024-north-america-open-qualifier-1,16+,Other,North America (Online),Online
7604,IEM Chengdu 2024 Europe Open Qualifier 1,Jan 17th,/events/7604/iem-chengdu-2024-europe-open-qualifier-1,16+,Other,Europe (Online),Online
7601,ESL Challenger Jönköping 2024,Jun 14th,/events/7601/esl-challenger-jnkping-2024,8,"$100,000","Jönköping, Sweden",Intl. LAN
