id,name,rating
9436,Guy 'NertZ' Iluz,1.29
18317,Boris 'magixx' Vorobiev,1.28
12781,Nils 'k1to' Gruhne,1.28
18221,Lotan 'Spinx' Giladi,1.37
8528,Abay 'HObbit' Khassenov,1.31
14148,Rasmus 'sjuush' Beck,1.63
16848,Olek 'hades' Miskiewicz,1.23
9078,Kristian 'k0nfig' Wienecke,1.77
9032,Emil 'Magisk' Reif,1.42
19164,Álvaro 'SunPayus' García,1.07
19673,Robert 'Patsi' Isyanov,1.22
21468,Marcel 'hyped' Köhn,1.47
14148,Rasmus 'sjuush' Beck,1.76
16555,Sergey 'Ax1Le' Rykhtorov,1.51
8248,Joakim 'jkaem' Myrbostad,1.27
10394,Russel 'Twistzz' Van Dulken,1.1
17147,Flatron 'juanflatroo' Halimi,1.81
14176,Kévin 'misutaaa' Rabier,1.28
10394,Russel 'Twistzz' Van Dulken,1.39
20358,Sebastian 'volt' Maloș,1.33
14176,Kévin 'misutaaa' Rabier,1.1
12732,Evgenii 'FL1T' Lebedev,1.05
13670,Tim 'nawwk' Jonasson,1.48
13982,Igor 'Forester' Bezotecheskiy,1.17
16147,Arseniy 'cptkurtka023' Derevinskiy,1.07
8183,Håvard 'rain' Nygaard,0.95
8998,Tiago 'JUST' Moura,0.96
20304,Victor 'Staehr' Staehr,1.08
18571,Cai 'CYPHER' Watson,1.58
8374,Alexandre 'bodyy' Pianaro,1.88
16948,Aleksandr 'TRAVIS' Timkiv,1.2
6904,Martin 'STYKO' Styk,1.2
9626,Adrian 'XELLOW' Guță,1.23
16820,Kamil 'siuhy' Szkaradek,1.36
9960,David 'frozen' Čerňanský,1.44
17147,Flatron 'juanflatroo' Halimi,1.64
11954,Dion 'FASHR' Derksen,1.47
11816,Robin 'ropz' Kool,1.62
12732,Evgenii 'FL1T' Lebedev,1.18
18987,Valeriy 'b1t' Vakhovskiy,1.95
11816,Robin 'ropz' Kool,1.15
19206,Justinas 'jL' Lekavicius,1.79
9626,Adrian 'XELLOW' Guță,1.16
19725,Genc 'gxx-' Kolgeci,1.29
8918,Denis 'electroNic' Sharipov,1.33
11954,Dion 'FASHR' Derksen,1.19
13239,Alexey 'Qikert' Golubev,1.36
20312,Dorian 'xertioN' Berman,1.4
18053,Helvijs 'broky' Saukants,1.12
7322,Dan 'apEX' Madesclaire,1.7
8183,Håvard 'rain' Nygaard,1.35
20127,Ihor 'w0nderful' Zhdanov,1.33
8918,Denis 'electroNic' Sharipov,0.73
18053,Helvijs 'broky' Saukants,0.99
20090,Rasmus 'Zyphon' Nordfoss,1.25
16555,Sergey 'Ax1Le' Rykhtorov,1.15
19164,Álvaro 'SunPayus' García,0.85
18850,Jimi 'Jimpphat' Salo,1.36
18053,Helvijs 'broky' Saukants,1.69
7322,Dan 'apEX' Madesclaire,1.24
8918,Denis 'electroNic' Sharipov,1.68
16693,Shahar 'flameZ' Shushan,2.25
18053,Helvijs 'broky' Saukants,1.3
11893,Mathieu 'ZywOo' Herbaut,1.52
18987,Valeriy 'b1t' Vakhovskiy,1.41
8918,Denis 'electroNic' Sharipov,1.15
11893,Mathieu 'ZywOo' Herbaut,1.81
7398,Peter 'dupreeh' Rasmussen,1.48
11816,Robin 'ropz' Kool,1.25
9078,Kristian 'k0nfig' Wienecke,1.35
12713,Ricky 'floppy' Kemery,1.71
18221,Lotan 'Spinx' Giladi,2.0
8918,Denis 'electroNic' Sharipov,1.61
8183,Håvard 'rain' Nygaard,1.46
7998,Oleksandr 's1mple' Kostyliev,1.5
11893,Mathieu 'ZywOo' Herbaut,1.31
19673,Robert 'Patsi' Isyanov,1.13
8735,Timothy 'autimatic' Ta,1.06
20123,Iulian 'regali' Harjău,1.31
15165,Benjamin 'blameF' Bremer,1.36
13249,Josh 'oSee' Ohm,0.78
17956,Jakob 'jabbi' Nygaard,1.52
11893,Mathieu 'ZywOo' Herbaut,1.55
11816,Robin 'ropz' Kool,1.55
14759,Mihai 'iM' Ivan,1.66
12840,Håkon 'hallzerk' Fjærli,0.79
12781,Nils 'k1to' Gruhne,0.98
10394,Russel 'Twistzz' Van Dulken,1.35
5794,Johannes 'tabseN' Wodarz,1.07
7964,Casper 'cadiaN' Møller,1.69
18838,Jadan 'HexT' Postma,1.06
18221,Lotan 'Spinx' Giladi,2.0
19230,Ilya 'm0NESY' Osipov,1.08
11816,Robin 'ropz' Kool,1.29
9816,Aleksi 'Aleksib' Virolainen,1.23
12018,René 'TeSeS' Madsen,1.49
9078,Kristian 'k0nfig' Wienecke,1.33
9032,Emil 'Magisk' Reif,1.76
7964,Casper 'cadiaN' Møller,1.4
4679,Justin 'jks' Savage,1.37
7964,Casper 'cadiaN' Møller,1.33
11893,Mathieu 'ZywOo' Herbaut,1.36
2023,Gabriel 'FalleN' Toledo,1.34
10994,Martin 'stavn' Lund,1.23
17372,Justin 'FaNg' Coakley,1.19
2023,Gabriel 'FalleN' Toledo,0.93
11893,Mathieu 'ZywOo' Herbaut,1.45
8183,Håvard 'rain' Nygaard,1.58
7964,Casper 'cadiaN' Møller,1.88
3741,Nikola 'NiKo' Kovač,1.25
11893,Mathieu 'ZywOo' Herbaut,0.78
17306,Abdul 'degster' Gasanov,1.4
17956,Jakob 'jabbi' Nygaard,1.85
18987,Valeriy 'b1t' Vakhovskiy,1.5
7592,Nicolai 'device' Reedtz,1.11
14932,Josef 'faveN' Baumann,1.63
13578,Michael 'Grim' Wince,1.68
3741,Nikola 'NiKo' Kovač,1.76
18053,Helvijs 'broky' Saukants,1.22
11893,Mathieu 'ZywOo' Herbaut,1.49
8918,Denis 'electroNic' Sharipov,1.56
17306,Abdul 'degster' Gasanov,1.32
11940,Sanzhar 'neaLaN' Iskhakov,1.44
12781,Nils 'k1to' Gruhne,1.23
3741,Nikola 'NiKo' Kovač,1.96
12713,Ricky 'floppy' Kemery,0.86
11816,Robin 'ropz' Kool,1.61
7964,Casper 'cadiaN' Møller,1.03
9136,Vincent 'Brehze' Cayonte,1.18
18987,Valeriy 'b1t' Vakhovskiy,1.79
3972,Nemanja 'huNter-' Kovač,1.17
8520,Keith 'NAF' Markovic,0.89
18053,Helvijs 'broky' Saukants,1.69
18221,Lotan 'Spinx' Giladi,1.34
7964,Casper 'cadiaN' Møller,1.64
16760,Karolina 'Liina' Kasprzyk,1.2
16497,Victoria 'tory' Kazieva,1.48
22065,Angelika 'Angelka' Kozłowska,1.6
