playerId,playerName,playerLink
19739,Ex3rcice,/player/19739/ex3rcice
21439,ICY,/player/21439/icy
19698,adamS,/player/19698/adams
20960,ex1st,/player/20960/ex1st
19015,Bymas,/player/19015/bymas
16147,cptkurtka023,/player/16147/cptkurtka023
7167,kennyS,/player/7167/kennys
13240,Lack1,/player/13240/lack1
11942,buster,/player/11942/buster
19617,amster,/player/19617/amster
7168,NBK-,/player/7168/nbk
18670,SELLTER,/player/18670/sellter
14932,faveN,/player/14932/faven
20112,alex666,/player/20112/alex666
19236,KENSI,/player/19236/kensi
20422,OWNER,/player/20422/owner
19882,Norwi,/player/19882/norwi
21468,hyped,/player/21468/hyped
20425,r1nkle,/player/20425/r1nkle
19671,Python,/player/19671/python
20700,lattykk,/player/20700/lattykk
9102,Sico,/player/9102/sico
12956,hasteka,/player/12956/hasteka
12588,BRACE,/player/12588/brace
7028,Summer,/player/7028/summer
9419,Lobanjica,/player/9419/lobanjica
18689,Annihilation,/player/18689/annihilation
14294,hazr,/player/14294/hazr
8552,Attacker,/player/8552/attacker
15062,shinobi,/player/15062/shinobi
13633,BLACKEAGLE,/player/13633/blackeagle
8726,facecrack,/player/8726/facecrack
19957,Bart4k,/player/19957/bart4k
16668,Kingfisher,/player/16668/kingfisher
10774,Freeman,/player/10774/freeman
19536,yAmi,/player/19536/yami
18736,pz,/player/18736/pz
16207,DANK1NG,/player/16207/dank1ng
19537,cool4st,/player/19537/cool4st
20799,SpAwNnS,/player/20799/spawnns
18129,meztal,/player/18129/meztal
21621,Moseyuh,/player/21621/moseyuh
20086,ADDICT,/player/20086/addict
21324,aristo,/player/21324/aristo
21428,fury5k,/player/21428/fury5k
20533,MOREE,/player/20533/moree
7687,nitr0,/player/7687/nitr0
8735,autimatic,/player/8735/autimatic
2529,Maluk3,/player/2529/maluk3
16775,DANVIET,/player/16775/danviet
7383,zqkS,/player/7383/zqks
8568,boltz,/player/8568/boltz
10818,iDk,/player/10818/idk
18295,jitter,/player/18295/jitter
10560,yel,/player/10560/yel
17325,nolkz,/player/17325/nolkz
9220,SHOOWTiME,/player/9220/shoowtime
11940,neaLaN,/player/11940/nealan
16546,cynic,/player/16546/cynic
11163,trk,/player/11163/trk
16816,vsm,/player/16816/vsm
15914,Luken,/player/15914/luken
19174,walker,/player/19174/walker
11922,ALLE,/player/11922/alle
19973,roz,/player/19973/roz
11213,delboNi,/player/11213/delboni
17930,wiz,/player/17930/wiz
16647,Bwills,/player/16647/bwills
18717,Lucaozy,/player/18717/lucaozy
19846,CLASIA,/player/19846/clasia
20519,Lcm,/player/20519/lcm
18140,f4stzin,/player/18140/f4stzin
19692,zevy,/player/19692/zevy
21699,n9xtz,/player/21699/n9xtz
17861,JOTA,/player/17861/jota
17553,pesadelo,/player/17553/pesadelo
20939,history,/player/20939/history
20522,gbb,/player/20522/gbb
4954,Xyp9x,/player/4954/xyp9x
4829,mynio,/player/4829/mynio
8917,niki1,/player/8917/niki1
19786,DEPRESHN,/player/19786/depreshn
13157,Jerry,/player/13157/jerry
11343,SHiPZ,/player/11343/shipz
20252,Kind0,/player/20252/kind0
4679,jks,/player/4679/jks
13466,dennyslaw,/player/13466/dennyslaw
20253,Dragon,/player/20253/dragon
17011,shalfey,/player/17011/shalfey
19673,Patsi,/player/19673/patsi
15835,imoRR,/player/15835/imorr
17504,KEi,/player/17504/kei
14380,Patrick,/player/14380/patrick
20685,choiv7,/player/20685/choiv7
20709,r3salt,/player/20709/r3salt
20941,Buzz,/player/20941/buzz
19187,xfl0ud,/player/19187/xfl0ud
17145,Rainwaker,/player/17145/rainwaker
20813,VLDN,/player/20813/vldn
7998,s1mple,/player/7998/s1mple
10264,niko,/player/10264/niko
8082,AZR,/player/8082/azr
20336,arTisT,/player/20336/artist
13239,Qikert,/player/13239/qikert
11954,FASHR,/player/11954/fashr
15821,NEOFRAG,/player/15821/neofrag
20339,Extinct,/player/20339/extinct
14929,JDC,/player/14929/jdc
20090,Zyphon,/player/20090/zyphon
20340,Girafffe,/player/20340/girafffe
17306,degster,/player/17306/degster
18571,CYPHER,/player/18571/cypher
21816,Gizmy,/player/21816/gizmy
21708,npl,/player/21708/npl
20113,deko,/player/20113/deko
20761,lauNX,/player/20761/launx
22043,MMS,/player/22043/mms
1572,vilga,/player/1572/vilga
10743,Hazel,/player/10743/hazel
10285,t4tty,/player/10285/t4tty
11215,Olga,/player/11215/olga
16760,Liina,/player/16760/liina
17287,goddess,/player/17287/goddess
8850,GooseBreeder,/player/8850/goosebreeder
13736,KiKi,/player/13736/kiki
12758,ANa,/player/12758/ana
15964,gfi,/player/15964/gfi
18773,f6tal,/player/18773/f6tal
16341,GaBi,/player/16341/gabi
22062,vicu,/player/22062/vicu
20502,julih,/player/20502/julih
18641,BiBiAhn,/player/18641/bibiahn
21806,paula,/player/21806/paula
16497,tory,/player/16497/tory
19098,Hffo,/player/19098/hffo
18778,Elizabeth,/player/18778/elizabeth
17288,izaa,/player/17288/izaa
22063,Hanka,/player/22063/hanka
21799,nani,/player/21799/nani
21732,uhKelsie,/player/21732/uhkelsie
21807,JKranny,/player/21807/jkranny
18775,twenty3,/player/18775/twenty3
19103,Argent,/player/19103/argent
18780,Victoria,/player/18780/victoria
20501,bokor,/player/20501/bokor
22064,Danuu,/player/22064/danuu
21800,poppins,/player/21800/poppins
21793,Kaoday,/player/21793/kaoday
22889,olya,/player/22889/olya
21756,Kat,/player/21756/kat
19844,XiaoWu,/player/19844/xiaowu
18781,Ksu,/player/18781/ksu
21219,kaahSENSEI,/player/21219/kaahsensei
22065,Angelka,/player/22065/angelka
21801,yungher,/player/21801/yungher
22066,madss,/player/22066/madss
22890,buhnny,/player/22890/buhnny
9221,reversive,/player/9221/reversive
10504,NikoM,/player/10504/nikom
20926,aNdu,/player/20926/andu
13250,ben1337,/player/13250/ben1337
14904,SloWye,/player/14904/slowye
17371,march,/player/17371/march
15349,maNkz,/player/15349/mankz
17353,cxzi,/player/17353/cxzi
18882,wilj,/player/18882/wilj
19869,try,/player/19869/try
18761,viz,/player/18761/viz
18883,Doru,/player/18883/doru
19705,chop,/player/19705/chop
21150,Triton,/player/21150/triton
7805,RUSH,/player/7805/rush
11485,malta,/player/11485/malta
18749,sausol,/player/18749/sausol
17929,Walco,/player/17929/walco
472,B1ad3,/player/472/b1ad3
29,f0rest,/player/29/f0rest
9896,b0RUP,/player/9896/b0rup
19107,S3NSEY,/player/19107/s3nsey
9766,hampus,/player/9766/hampus
6593,PKL,/player/6593/pkl
18638,sk0R,/player/18638/sk0r
17905,iso,/player/17905/iso
9031,valde,/player/9031/valde
7266,syrsoN,/player/7266/syrson
20350,Layner,/player/20350/layner
